"completion_code","question_index","response","subscale"
"74crp9wo",1,4,"trust"
"74crp9wo",2,4,"trust"
"74crp9wo",3,5,"mistrust"
"74crp9wo",4,4,"mistrust"
"74crp9wo",5,5,"credulity"
"74crp9wo",6,6,"credulity"
"74crp9wo",7,5,"trust"
"74crp9wo",8,5,"trust"
"74crp9wo",9,0,"mistrust"
"74crp9wo",10,3,"catch"
"74crp9wo",11,5,"mistrust"
"74crp9wo",12,6,"credulity"
"74crp9wo",13,5,"credulity"
"74crp9wo",14,5,"trust"
"74crp9wo",15,4,"mistrust"
"74crp9wo",16,6,"credulity"
"gb7904jd",1,5,"trust"
"gb7904jd",2,5,"trust"
"gb7904jd",3,2,"mistrust"
"gb7904jd",4,2,"mistrust"
"gb7904jd",5,4,"credulity"
"gb7904jd",6,4,"credulity"
"gb7904jd",7,5,"trust"
"gb7904jd",8,5,"trust"
"gb7904jd",9,5,"mistrust"
"gb7904jd",10,3,"catch"
"gb7904jd",11,3,"mistrust"
"gb7904jd",12,3,"credulity"
"gb7904jd",13,4,"credulity"
"gb7904jd",14,4,"trust"
"gb7904jd",15,2,"mistrust"
"gb7904jd",16,4,"credulity"
"qlfh0hd9",1,1,"trust"
"qlfh0hd9",2,3,"trust"
"qlfh0hd9",3,3,"mistrust"
"qlfh0hd9",4,5,"mistrust"
"qlfh0hd9",5,1,"credulity"
"qlfh0hd9",6,3,"credulity"
"qlfh0hd9",7,1,"trust"
"qlfh0hd9",8,3,"trust"
"qlfh0hd9",9,3,"mistrust"
"qlfh0hd9",10,3,"catch"
"qlfh0hd9",11,1,"mistrust"
"qlfh0hd9",12,5,"credulity"
"qlfh0hd9",13,1,"credulity"
"qlfh0hd9",14,3,"trust"
"qlfh0hd9",15,5,"mistrust"
"qlfh0hd9",16,5,"credulity"
"0p8dfxsx",1,4,"trust"
"0p8dfxsx",2,5,"trust"
"0p8dfxsx",3,6,"mistrust"
"0p8dfxsx",4,3,"mistrust"
"0p8dfxsx",5,0,"credulity"
"0p8dfxsx",6,1,"credulity"
"0p8dfxsx",7,3,"trust"
"0p8dfxsx",8,6,"trust"
"0p8dfxsx",9,4,"mistrust"
"0p8dfxsx",10,3,"catch"
